frame,timestamp_ms
0,1740704650264
0,1740704650303
0,1740704650343
1,1740704650388
1,1740704650475
1,1740704650531
2,1740704650571
2,1740704650610
2,1740704650648
3,1740704650688
3,1740704650727
3,1740704650770
4,1740704650810
4,1740704650849
4,1740704650891
5,1740704650932
5,1740704650972
5,1740704651010
6,1740704651047
6,1740704651085
6,1740704651143
7,1740704651181
7,1740704651218
7,1740704651263
8,1740704651307
8,1740704651350
8,1740704651397
9,1740704651439
9,1740704651479
9,1740704651519
10,1740704651563
10,1740704651605
10,1740704651647
11,1740704651685
11,1740704651728
11,1740704651769
12,1740704651812
12,1740704651881
12,1740704651919
13,1740704651962
13,1740704652002
13,1740704652043
14,1740704652080
14,1740704652119
14,1740704652157
15,1740704652194
15,1740704652236
15,1740704652282
16,1740704652324
16,1740704652364
16,1740704652401
17,1740704652441
17,1740704652479
17,1740704652518
18,1740704652593
18,1740704652634
18,1740704652687
19,1740704652767
19,1740704652804
19,1740704652845
20,1740704652881
20,1740704652923
20,1740704652959
21,1740704652998
21,1740704653062
21,1740704653102
22,1740704653158
22,1740704653196
22,1740704653236
23,1740704653274
23,1740704653311
23,1740704653351
24,1740704653387
24,1740704653426
24,1740704653463
25,1740704653502
25,1740704653540
25,1740704653578
26,1740704653617
26,1740704653655
26,1740704653692
27,1740704653729
27,1740704653770
27,1740704653806
28,1740704653878
28,1740704653916
28,1740704653957
29,1740704653997
29,1740704654034
29,1740704654075
30,1740704654112
30,1740704654151
30,1740704654190
31,1740704654228
31,1740704654266
31,1740704654302
32,1740704654339
32,1740704654376
32,1740704654415
33,1740704654453
33,1740704654492
33,1740704654532
34,1740704654569
34,1740704654607
34,1740704654647
35,1740704654685
35,1740704654722
35,1740704654762
36,1740704654799
36,1740704654837
36,1740704654873
37,1740704654913
37,1740704654950
37,1740704654986
38,1740704655026
38,1740704655065
38,1740704655100
39,1740704655139
39,1740704655178
39,1740704655240
40,1740704655351
40,1740704655411
40,1740704655472
41,1740704655509
41,1740704655550
41,1740704655588
42,1740704655626
42,1740704655665
42,1740704655703
43,1740704655741
43,1740704655780
43,1740704655816
44,1740704655857
44,1740704655894
44,1740704655932
45,1740704655971
45,1740704656009
45,1740704656046
46,1740704656086
46,1740704656123
46,1740704656161
47,1740704656202
47,1740704656239
47,1740704656275
48,1740704656313
48,1740704656354
48,1740704656389
49,1740704656427
49,1740704656467
49,1740704656503
50,1740704656540
50,1740704656605
50,1740704656640
51,1740704656679
51,1740704656715
51,1740704656765
52,1740704656804
52,1740704656843
52,1740704656878
53,1740704656916
53,1740704656953
53,1740704656988
54,1740704657026
54,1740704657063
54,1740704657100
55,1740704657138
55,1740704657176
55,1740704657211
56,1740704657249
56,1740704657289
56,1740704657325
57,1740704657361
57,1740704657402
57,1740704657439
58,1740704657477
58,1740704657514
58,1740704657551
59,1740704657589
59,1740704657628
59,1740704657667
60,1740704657704
60,1740704657746
60,1740704657782
61,1740704657821
61,1740704657860
61,1740704657899
62,1740704657987
62,1740704658024
62,1740704658065
63,1740704658100
63,1740704658141
63,1740704658177
64,1740704658214
64,1740704658251
64,1740704658290
65,1740704658326
65,1740704658364
65,1740704658400
66,1740704658439
66,1740704658476
66,1740704658512
67,1740704658550
67,1740704658589
67,1740704658628
68,1740704658663
68,1740704658701
68,1740704658739
69,1740704658776
69,1740704658814
69,1740704658851
70,1740704658889
70,1740704658925
70,1740704658963
71,1740704659000
71,1740704659035
71,1740704659073
72,1740704659109
72,1740704659143
72,1740704659180
73,1740704659217
73,1740704659254
73,1740704659389
74,1740704659425
74,1740704659461
74,1740704659495
75,1740704659531
75,1740704659565
75,1740704659603
76,1740704659638
76,1740704659676
76,1740704659709
77,1740704659746
77,1740704659783
77,1740704659820
78,1740704659854
78,1740704659893
78,1740704659927
79,1740704659965
79,1740704660001
79,1740704660035
80,1740704660072
80,1740704660108
80,1740704660145
81,1740704660181
81,1740704660217
81,1740704660255
82,1740704660289
82,1740704660326
82,1740704660363
83,1740704660399
83,1740704660438
83,1740704660473
84,1740704660510
84,1740704660545
84,1740704660583
85,1740704660619
85,1740704660727
85,1740704660764
86,1740704660800
86,1740704660837
86,1740704660873
87,1740704660911
87,1740704660947
87,1740704660983
88,1740704661020
88,1740704661057
88,1740704661095
89,1740704661130
89,1740704661167
89,1740704661203
90,1740704661240
90,1740704661277
90,1740704661314
91,1740704661349
91,1740704661387
91,1740704661424
92,1740704661460
92,1740704661497
92,1740704661534
93,1740704661570
93,1740704661604
93,1740704661642
94,1740704661677
94,1740704661715
94,1740704661752
95,1740704661790
95,1740704661852
95,1740704661892
96,1740704661930
96,1740704661965
96,1740704662005
97,1740704662108
97,1740704662144
97,1740704662181
98,1740704662219
98,1740704662258
98,1740704662294
99,1740704662332
99,1740704662381
99,1740704662421
100,1740704662458
100,1740704662496
100,1740704662534
101,1740704662573
101,1740704662609
101,1740704662647
102,1740704662685
102,1740704662722
102,1740704662760
103,1740704662800
103,1740704662837
103,1740704662874
104,1740704662915
104,1740704662952
104,1740704662990
105,1740704663029
105,1740704663067
105,1740704663105
106,1740704663144
106,1740704663184
106,1740704663220
107,1740704663259
107,1740704663296
107,1740704663335
108,1740704663474
108,1740704663510
108,1740704663548
109,1740704663587
109,1740704663627
109,1740704663662
110,1740704663703
110,1740704663738
110,1740704663777
111,1740704663817
111,1740704663857
111,1740704663919
112,1740704663957
112,1740704663996
112,1740704664034
113,1740704664073
113,1740704664112
113,1740704664149
114,1740704664187
114,1740704664227
114,1740704664263
115,1740704664302
115,1740704664339
115,1740704664375
116,1740704664418
116,1740704664454
116,1740704664493
117,1740704664531
117,1740704664569
117,1740704664605
118,1740704664645
118,1740704664682
118,1740704664718
119,1740704664829
119,1740704664864
119,1740704664900
120,1740704664939
120,1740704664977
120,1740704665013
121,1740704665054
121,1740704665091
121,1740704665128
122,1740704665169
122,1740704665206
122,1740704665243
123,1740704665284
123,1740704665320
123,1740704665358
124,1740704665399
124,1740704665435
124,1740704665473
125,1740704665513
125,1740704665550
125,1740704665588
126,1740704665625
126,1740704665662
126,1740704665700
127,1740704665738
127,1740704665777
127,1740704665816
128,1740704665853
128,1740704665892
128,1740704665929
129,1740704665967
129,1740704666004
129,1740704666045
130,1740704666083
130,1740704666208
130,1740704666248
